,userID,cuisine
172,U1103,Mexican
173,U1104,Italian
174,U1105,Cafeteria
175,U1106,Barbecue
176,U1107,Mexican
177,U1108,Cafe-Coffee_Shop
178,U1108,Sushi
179,U1108,Latin_American
180,U1108,Deli-Sandwiches
181,U1108,Mexican
182,U1108,Hot_Dogs
183,U1108,American
184,U1108,Fast_Food
185,U1108,Burgers
186,U1108,Asian
187,U1108,Pizzeria
188,U1108,Chinese
189,U1108,Dessert-Ice_Cream
190,U1108,Cafeteria
191,U1108,Japanese
192,U1108,Game
193,U1108,Family
194,U1108,Seafood
195,U1109,Mexican
196,U1110,Mexican
197,U1111,Mexican
198,U1112,Mexican
199,U1113,Burgers
200,U1114,Mexican
201,U1115,Regional
202,U1116,Mexican
203,U1117,Turkish
204,U1118,Pizzeria
205,U1119,Mexican
206,U1120,Mexican
207,U1121,Mexican
208,U1122,Afghan
209,U1123,Mexican
210,U1124,Mexican
211,U1125,Mexican
212,U1126,Mexican
213,U1127,Mexican
214,U1128,Cafeteria
215,U1128,Hot_Dogs
216,U1128,Pizzeria
217,U1128,Mexican
218,U1129,Mexican
219,U1130,Mexican
220,U1131,Mexican
221,U1132,Mexican
222,U1133,Mexican
223,U1134,Mexican
224,U1135,Organic-Healthy
225,U1135,Steaks
226,U1135,Middle_Eastern
227,U1135,Mediterranean
228,U1135,British
229,U1135,Austrian
230,U1135,Israeli
231,U1135,Doughnuts
232,U1135,Pizzeria
233,U1135,Seafood
234,U1135,Fast_Food
235,U1135,Moroccan
236,U1135,Hot_Dogs
237,U1135,Russian-Ukrainian
238,U1135,Malaysian
239,U1135,Burgers
240,U1135,Fusion
241,U1135,Korean
242,U1135,Japanese
243,U1135,Vegetarian
244,U1135,Turkish
245,U1135,Peruvian
246,U1135,Juice
247,U1135,Tapas
248,U1135,Eclectic
249,U1135,African
250,U1135,Basque
251,U1135,Canadian
252,U1135,Afghan
253,U1135,Diner
254,U1135,Irish
255,U1135,Sushi
256,U1135,Polynesian
257,U1135,Bagels
258,U1135,Tex-Mex
259,U1135,Cuban
260,U1135,Southwestern
261,U1135,Cafe-Coffee_Shop
262,U1135,Continental-European
263,U1135,Family
264,U1135,Indian-Pakistani
265,U1135,Tea_House
266,U1135,International
267,U1135,Pacific_Northwest
268,U1135,Australian
269,U1135,German
270,U1135,Regional
271,U1135,Spanish
272,U1135,Persian
273,U1135,Ethiopian
274,U1135,Romanian
275,U1135,Cambodian
276,U1135,Pacific_Rim
277,U1135,Tunisian
278,U1135,Filipino
279,U1135,Dim_Sum
280,U1135,Breakfast-Brunch
281,U1135,Contemporary
282,U1135,Greek
283,U1135,Thai
284,U1135,Swiss
285,U1135,Bar
286,U1135,Soup
287,U1135,American
288,U1135,Mongolian
289,U1135,Cajun-Creole
290,U1135,Armenian
291,U1135,Indigenous
292,U1135,Bar_Pub_Brewery
293,U1135,Hawaiian
294,U1135,Cafeteria
295,U1135,Lebanese
296,U1135,Chinese
297,U1135,Portuguese
298,U1135,Caribbean
299,U1135,Indonesian
300,U1135,Hungarian
301,U1135,Bakery
302,U1135,Dutch-Belgian
303,U1135,Deli-Sandwiches
304,U1135,Kosher
305,U1135,Fine_Dining
306,U1135,Jamaican
307,U1135,Tibetan
308,U1135,Latin_American
309,U1135,Southeast_Asian
310,U1135,Eastern_European
311,U1135,Mexican
312,U1135,Burmese
313,U1135,California
314,U1135,Game
315,U1135,Italian
316,U1135,Scandinavian
317,U1135,Chilean
318,U1135,Polish
319,U1135,North_African
320,U1135,Asian
321,U1135,Vietnamese
322,U1135,Barbecue
323,U1135,French
324,U1135,Brazilian
325,U1135,Southern
326,U1135,Dessert-Ice_Cream
327,U1136,Mexican
328,U1137,Mexican
329,U1138,Pizzeria
